Company,Year,Value
DSW Inc.,2024,0.06666666667
Ralph Lauren Corporation,2024,3.883333333
Fendi,2024,3.233333333
Lacoste,2024,1.333333333
Carter's Inc,2024,1.65
Helly Hansen AS,2024,0.6
Zalando SE,2024,2.683333333
Salvatore Ferragamo SpA,2024,2.566666667
Mizuno Corporation,2024,1.516666667
Jockey International Inc,2024,0.06666666667
Tom Ford International LLC,2024,0
Carhartt Inc,2024,0.6
Billabong International Ltd,2024,0
Chanel SA,2024,1
The Very Group,2024,1.6
Cortefiel SA,2024,1.966666667
Aeropostale Inc.,2024,0
Miu Miu,2024,3.816666667
Tchibo GmbH,2024,2.033333333
Diesel SpA,2024,1.766666667
Triumph International,2024,0.7
Mammut Sports Group AG,2024,1.916666667
Heilan Home,2024,0
Express Inc,2024,0.1
Burlington Stores Inc,2024,1.166666667
Chico's FAS Inc,2024,0.5666666667
Children's Place Inc,2024,1.533333333
El Corte Ingles S.A.,2024,1.3
Buckle Inc,2024,0.06666666667
Monoprix,2024,1.433333333
Takko Holding GmbH,2024,0.4
Hema,2024,0.7
Target Australia,2024,2.583333333
River Island,2024,0.8666666667
Zeeman,2024,1.133333333
LC Waikiki,2024,0.06666666667
Matalan,2024,0.9833333333
Cotton on Group,2024,1.016666667
S.Oliver,2024,0.9833333333
John Lewis,2024,0.95
C&J Clark International,2024,0.1833333333
Decathlon Group,2024,5.066666667
Desigual,2024,1.483333333
Kmart Australia,2024,2.583333333
Forever 21,2024,0
Hudson's Bay Company,2024,0.1333333333
Ted Baker,2024,1.1
Lidl Limited,2024,1.5
Capri Holdings Ltd (formerly Michael Kors),2024,2.433333333
LL Bean,2024,0.3833333333
Semir,2024,0
Boohoo.com,2024,1.85
Steve Madden,2024,1.616666667
TOD'S,2024,0.4666666667
Brunello Cucinelli,2024,1.666666667
Superdry plc,2024,3.766666667
United Arrows,2024,1.9
Metersbonwe,2024,0
JD Sports Fashion plc,2024,3.116666667
Gerry Weber,2024,0.3666666667
Chloe,2024,2.466666667
Saint Laurent,2024,4.483333333
Bottega Veneta,2024,4.483333333
Balenciaga,2024,4.483333333
Dolce & Gabbana,2024,0.6333333333
Gianni Versace S.r.l.,2024,2.433333333
Bosideng International Holdings Limited,2024,0
Eddie Bauer,2024,0.06666666667
Coach Stores Limited,2024,2.283333333
Mr Price,2024,0.06666666667
Vans,2024,3.6
Wrangler,2024,2.9
Canada Goose,2024,1.3
Jack Wolfskin,2024,0.2
Aritzia,2024,1.833333333
Anta Sports Products,2024,1.183333333
New Yorker,2024,0
Calzedonia,2024,5.216666667
Max Mara,2024,0
Ermenegildo Zegna,2024,2.65
Tom Tailor,2024,3.15
Pimkie,2024,0.1333333333
Kiabi,2024,0.7833333333
Massimo Dutti S.A.,2024,4.066666667
Bershka,2024,4.066666667
Reebok International Ltd.,2024,0
Speedo International Limited,2024,1.283333333
Vero Moda,2024,3.483333333
Jack & Jones,2024,3.483333333
Intimissimi S.p.A,2024,5.216666667
Old Navy,2024,3.55
Banana Republic,2024,3.55
Calvin Klein Inc.,2024,3.316666667
Victoria's Secret,2024,1.666666667
Anthropologie,2024,0.2333333333
Fabletics,2024,0
Hollister,2024,1.8
Pull & Bear,2024,4.066666667
Free People,2024,0.2333333333
Muji,2024,1.7
FILA,2024,0.6666666667
Kmart Corporation,2024,0.06666666667
Reserved,2024,2.3
OVS SpA,2024,4.666666667
United Colors of Benetton,2024,2.816666667
PrettyLittleThing,2024,1.85
Tezenis,2024,5.216666667
Russell Athletic,2024,4.166666667
Stradivarius,2024,4.066666667
Jordan (Brand),2024,4.1
Bonprix,2024,1.816666667
Van Heusen,2024,0
George (brand),2024,0.9666666667
Celio International,2024,0
Youngor,2024,0
F&F,2024,2.3
Caroll,2024,0.15
Bally,2024,2.7
Smart Bazaar,2024,0
UGG,2024,2.05
Foschini,2024,0.8
Marni,2024,1.766666667
Beanpole,2024,0
Dressmann,2024,2.216666667
TJ Maxx,2024,1.166666667
Big W,2024,1.566666667
Celine,2024,2.733333333
Sak's Fifth Avenue,2024,0
Ito Yokado,2024,1.3
Jil Sander,2024,1.766666667
Bloomingdale's,2024,1.55
Merrell,2024,0.3666666667
Nutmeg at Morrisons,2024,1.05
Roxy,2024,0
Sandro,2024,2.3
Topvalu,2024,1.266666667
Carolina Herrera,2024,1.783333333
Tory Burch LLC,2024,0
Tommy Bahama,2024,0.08333333333
Famous Footwear,2024,0.3666666667
Furla,2024,0.06666666667
"Fanatics, Inc",2024,0.5666666667
Fashion Nova,2024,0
ALDO,2024,0.5
BCBGMAXAZRIA,2024,0
Reliance Trends,2024,1.166666667
Champion,2024,5.8
Nine West,2024,0
Mexx,2024,0
K-Way,2024,0.06666666667
Koovs,2024,0
Pepe Jeans,2024,0.1
Longchamp,2024,0
La Redoute,2024,0.06666666667
REVOLVE,2024,0
Deichmann SE,2024,0.06666666667
GU,2024,2.883333333
Gymshark Limited,2024,1.133333333
Shein,2024,1.283333333
Paris (Almacenes Paris),2024,0.7666666667
AJIO,2024,1.166666667
Splash,2024,0
Romwe,2024,0.06666666667
"Shimamura Co., Ltd.",2024,1.133333333
Max Fashion,2024,0.3
Savage X Fenty,2024,0
